Address,Type,Price,Date,Distance,Postcode,Bedroom2,Bathroom,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude
25 Bloomburg St,h,1035000,2/4/2016,2.5,3067,2,1,156,79,1900,Yarra City Council,-37.8079,144.9934
5 Charles St,h,1465000,3/4/2017,2.5,3067,3,2,134,150,1900,Yarra City Council,-37.8093,144.9944
55a Park St,h,1600000,6/4/2016,2.5,3067,3,1,120,142,2014,Yarra City Council,-37.8072,144.9941
124 Yarra St,h,1876000,5/7/2016,2.5,3067,4,2,245,210,1910,Yarra City Council,-37.8024,144.9993
98 Charles St,h,1636000,10/8/2016,2.5,3067,2,1,256,107,1890,Yarra City Council,-37.806,144.9954
10 Valiant St,h,1097000,10/8/2016,2.5,3067,3,1,220,75,1900,Yarra City Council,-37.801,144.9989
40 Nicholson St,h,1350000,11/12/2016,2.5,3067,3,2,214,190,2005,Yarra City Council,-37.8085,144.9964
16 William St,h,1310000,10/15/2016,2.5,3067,2,1,238,97,1890,Yarra City Council,-37.809,144.9976
42 Henry St,h,1200000,7/16/2016,2.5,3067,3,2,113,110,1880,Yarra City Council,-37.8056,144.993
78 Yarra St,h,1176500,7/16/2016,2.5,3067,2,1,138,105,1890,Yarra City Council,-37.8021,144.9965
42 Valiant St,h,890000,9/17/2016,2.5,3067,2,1,150,73,1985,Yarra City Council,-37.8011,145.0004
3/72 Charles St,h,1330000,3/18/2017,2.5,3067,4,2,780,135,1900,Yarra City Council,-37.8073,144.9952
52a William St,h,1100000,6/18/2016,2.5,3067,2,2,124,135,2013,Yarra City Council,-37.8079,144.9977
49 Park St,h,1315000,11/19/2016,2.5,3067,2,1,147,85,1900,Yarra City Council,-37.808,144.994
48 Abbotsford St,h,1447500,8/22/2016,2.5,3067,3,3,166,174,2012,Yarra City Council,-37.8017,145.0001
159 Park St,h,1135000,8/22/2016,2.5,3067,2,2,98,128,1920,Yarra City Council,-37.8005,144.9952
60 Stafford St,h,1290000,2/25/2017,2.5,3067,3,1,168,124,1950,Yarra City Council,-37.8007,144.9958
47 Studley St,h,1180000,11/27/2016,2.5,3067,2,1,162,91,1900,Yarra City Council,-37.8016,144.9956
45 Yarra St,h,1195000,11/27/2016,2.5,3067,3,2,120,128,1998,Yarra City Council,-37.8022,144.9954
200 Nicholson St,h,1012500,5/28/2016,2.5,3067,2,1,182,82,1900,Yarra City Council,-37.8021,144.9976
27 Charles St,h,1030000,7/30/2016,2.5,3067,2,1,172,81,1930,Yarra City Council,-37.8086,144.9946
